Producto,Platillo,Precio
C001-001,PULPO (GRANDE),210
C001-002,PULPO (CHICO),190
C001-003,CAMARON COCIDO (GRANDE),180
C001-004,CAMARON COCIDO (CHICO),155
C001-005,AGUACHILE (GRANDE) ROJO O NEGRO,165
C001-006,AGUACHILE (CHICO) ROJO O NEGRO,140
C001-007,AGUACHILE VERDE EN MOLCAJETE,165
C001-008,AGUACHILE TRICOLOR,255
C001-009,CARACOL (GRANDE),265
C001-010,CARACOL (CHICO),140
C001-011,CALLO DE LOBINA (GRANDE),200
C001-012,CALLO DE LOBINA (CHICO),145
C001-013,AGUACALLO LOBINA (GRANDE),290
C001-014,AGUACALLO LOBINA (CHICO),220
C001-015,AGUAPULPO (GRANDE),285
C001-016,AGUAPULPO (CHICO),240
C001-017,GUASAVENA (GRANDE),650
C001-018,GUASAVENA (CHICA),485
C001-019,GUASAVENA PERSONAL,265
C001-020,HUITUSENA (GRANDE),300
C001-021,HUITUSENA (CHICA),240
C001-022,MOLCAJETE VERDE (FRIO),265
C001-023,SASHIMI DE ATUN,210
C001-024,AGUACHILE NEGRO DE ATUN,210
C001-025,CEVICHE DE CAMARON,45
C001-026,CEVICHE DE PESCADO,40
C001-027,CEVICHE DE CAMARON COCIDO,70
C001-028,DE AGUACHILE,70
C001-029,ESPECIAL,145
C001-030,ESPECIAL C/CALLO LOBINA,175
C001-031,CAMARON COCIDO,70
C001-032,PULPO,80
C001-033,MARLIN,40
C001-034,CEVICHE DE ATUN,70
C001-035,ATUN,70
C001-036,ATUN C/MANGO,80
C001-037,CALLO DE LOBINA,70
C001-038,CAMARON C/PULPO,100
C001-039,CEVICHE DE CAMARON C/LOBINA,95
C001-040,CARACOL,70
C001-041,ORDEN CEV. PESCADO P/LLEVAR,220
C001-042,ORDEN CEV. PESCADO SERVICIO,230
C001-043,ORDEN CEV. CAMARON P/LLEVAR,265
C001-044,ORDEN CEV. CAMARON SERVICIO,275
C001-045,COPA CHICA (2 INGREDIENTES),130
C001-046,CHABELA,165
C001-047,PLATO GRANDE,190
C001-048,CON CALLO DE LOBINA (EXTRA),55
C001-049,CON CARACOL (EXTRA),65
C001-050,CHABELA PULPO,190
C001-051,PLATO GRANDE PULPO,220
C001-052,ORDEN DE PATA DE MULA EN SU CONCHA,125
C001-053,CHICHARRONES DE BOTETE,175
C001-054,PULPO A LA DIABLA O MEDIA DIABLA,210
C001-055,PULPO ZARANDEADO,310
C001-056,LONJA DE SALMON,230
C001-057,FILETE DE PESCADO AL GUSTO,140
C001-058,FILETE PHILADELFIA,150
C001-059,FILETE AL CHAMPINON,150
C001-060,FILETE AL CHIPOTLE,150
C001-061,FILETE TERMIDOR,165
C001-062,FILETE ZARANDEADO,150
C001-063,CAMARONES AL GUSTO,190
C001-064,CAMARONES A LA MOMIA,215
C001-065,CAMARONES PHILADELFIA,195
C001-066,CAMARONES AL CHAMPINON,195
C001-067,CAMARONES AL CHIPOTLE,195
C001-068,CAMARONES TERMIDOR,205
C001-069,CAMARONES AL TAMARINDO,200
C001-070,CAMARONES AL COCO,205
C001-071,CAMARONES ZARANDEADOS,205
C001-072,DEDOS DE PESCADO ,90
C001-073,ORDEN DE ARROZ ,40
C001-074,PAPAS A LA FRANCESA ,30
C001-075,TACOS GOBERNADOR DE CAMARON (C/4),200
C001-076,TACOS GOBERNADOR DE CAMARON (C/U),55
C001-077,TACOS GOBERNADOR DE MARLIN (C/4),180
C001-078,TACOS GOBERNADOR DE MARLIN (C/U),50
C001-079,TACOS GOBERNADOR DE PULPO (C/U),70
C001-080,TACOS GOBERNADOR MIXTOS,210
C001-081,TACO ESPECIAL,80
C001-082,EMPANADAS DE CAMARON (C/3),175
C001-083,EMPANADAS DE CAMARON (C/U),65
C001-084,EMPANADAS DE MARLIN (C/3),165
C001-085,EMPANADAS DE MARLIN (C/U),60
C001-086,ORDEN MACHACA DE MARLIN 1 LITRO (PARA LLEVAR),240
C001-087,AGUAS FRESCAS,30
C001-088,AGUA DE COCO NATURAL,40
C001-089,REFRESCO,30
C001-090,CORONA,35
C001-091,TECATE,35
C001-092,PACIFICO ,35
C001-093,VICTORIA,35
C001-094,MODELO,40
C001-095,ULTRA,40
C001-096,RUSAS DE REFRESCO,40
C001-097,LIMONADA NATURAL,35
C001-098,LIMONADA MINERAL,40
C001-099,NARANJADA NATURAL,35
C001-100,NARANJADA MINERAL,40
C001-101,CLAMATO VIRGEN,55
C001-102,MICHELADA NORMAL,55
C001-103,MICHELADA PREMIUM,60
C001-104,MICHELADAS (1 LITRO),80
C001-105,MICHELADAS PREMIUM (1 LITRO),85
C001-106,RUSAS NORMAL,50
C001-107,RUSA PREMIUM,55
C001-108,RUSAS (1 LITRO),70
C001-109,RUSAS PREMIUM (1 LITRO),75
C001-110,CAFE,30
C001-111,FLAN,35
C001-112,Agua Natural,20
C001-113,1/2 Callo de Hacha,100
C001-114,CLAMATO Clamato Preparado,55
C001-115,ORDEN CEVICHE MITOTERO,300
